Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Adjective Density,Spellcheck Percentage,Syllable Ratio,Latinate vs Germanic,ADF Score,FK Grade Level,Reading Time,WF Score,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula,Cluster,Topic,Sentence
10,367O8HRHKF7TAJHZ2LXVZAPDOBW4SN,3.2,4.4,3,16,80,75,7.125,43.75,6.25,0,1.1875,40,6.25,4.8,0.95,5.8852,89.08,6.4,0,5.7,4.52,7,10.35,5,4.17,4,0,1) Check out this random object we found at a thrift store (via the link below).
11,3QI9WAYOGPA7P6LDL9QAW89RK22S6W,3.6,6.2,2.8,13,71,61.53846154,6.153846154,61.53846154,0,0,1.583333333,50,0,8,0.87,5.8221,59.3,4.8,0,7.7,8.92,5.5,10.81,8,5.397666667,0,5,1. Go into the printers control panel and choose Printer > Add Printer.
12,3UOMW19E6C5VZLW3J4Q5PXR9245C56,5,4.2,2,5,42,60,7,40,0,0,2.2,0,0,12.3,0.56,4.9608,15.64,10,0,16.9,17.72,2.5,19.67,13,6.704,0,9,1. Go to System/Administration/Printing 2.
13,3UL5XDRDNBITNI6Q2SA0NBVQCDL58U,2.2,2.8,3.8,5,18,50,6,40,0,0,1,0,0,-1.9,0.21,5.0863,117.16,2,0,-5.8,-7.81,1.5,10.2,2,1.544,0,0,1. I have no clue.
14,3H6W48L9F3O86TKRKAZKZX3TLKOPWE,2.6,2.8,3.6,32,161,50,4.1875,50,6.060606061,9.375,1.3125,3.333333333,6.060606061,12.2,1.91,6.7647,64.38,16.55,0,13.7,5.41,19,11.14,12,6.9635,0,3,"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?"
15,37SDSEDIN81UZ057158OKLI90XG81F,1,2.4,6.4,9,44,61.11111111,2.666666667,44.44444444,0,0,1.222222222,0,0,2.1,0.53,5.3732,96.18,3.6,0,1.9,2.87,3.5,11.1,4,4.019111111,0,0,1. Is Levi Johnston screwing with all of us?
16,3EN4YVUOUBRR9IMJZ2QM4KVOLNOXJF,3,4.2,5.2,11,58,50,5.636363636,63.63636364,9.090909091,0,1.272727273,10,9.090909091,4,0.71,5.8157,85.69,4.4,0,4.6,5.78,4.5,7.05,5,2.39,0,5,1) Kids love coming here if they enjoy the great outdoors.
17,33KMQD9OFID4A8FQGGXR7VDRSZ977N,3.2,5.2,3.8,14,69,75,7.285714286,50,14.28571429,7.142857143,1.214285714,11.11111111,14.28571429,4,0.82,5.6522,91.11,5.6,0,4.4,4.52,6,8.84,5,4.041571429,0,2,1) make sure that there is a valid driver for your printer in ubuntu.
18,3YO4AH2FPCJ0YFKLRGLOS7KZPBVQ04,5.2,5.4,4.4,9,56,83.33333333,6,66.66666667,0,11.11111111,1.555555556,33.33333333,0,6.8,0.71,5.1243,62.34,12.49,0,8.2,9.94,5.5,14.61,7,4.974666667,0,7,1.) The European Union strikes a climate financing deal.
19,36BTXXLZ2U7H94HMNWXQ90KH29CR4L,2.2,2.4,5.2,8,35,31.25,3,50,0,0,1,16.66666667,0,-0.8,0.41,5.6232,114.12,3.2,0,-1,-0.81,3,6.01,0,1.967,4,4,1. Where should we park to do this.
20,3SD15I2WD1T35P0YVUP9O01FSM436G,5.6,6,2.4,42,252,78.57142857,4.547619048,59.52380952,9.090909091,0,1.595238095,26.31578947,9.090909091,19.7,3.1,7.8077,28.85,20.61,0,23.2,11.91,26,11.73,12,8.808619048,3,7,$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.
21,3ZUE82NE090LPFZF84N99NM317YF8M,6,6.6,2.6,28,193,87.5,4.857142857,67.85714286,9.090909091,0,1.678571429,6.25,9.090909091,15.4,2.44,7.3143,34.6,15.49,0,20.5,16.13,19,12.92,16,6.937,3,1,20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.
22,34HEO7RUG5TWBTX3WX7HM36HUJAARH,4.8,5.6,4.4,22,126,86.36363636,5.681818182,59.09090909,4,4.545454545,1.363636364,0,4,9.5,1.54,5.5923,66.07,10.62,0,12,8.82,13,14.06,9,5.113727273,3,1,"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida."
23,3WJGKMRWVH8Q3YBWYA8ON9F1FL3CDE,6,6,3.8,23,126,78.26086957,5.043478261,65.2173913,8,0,1.217391304,0,8,7.5,1.53,5.4013,81.97,9.2,0,11.4,6.97,11.5,12.33,12,4.829826087,3,1,"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009."
24,3WRBLBQ2GQ79LQQ7OKGCYTGXJON0GK,4.8,5.8,2.2,32,173,84.375,5.3125,62.5,11.42857143,0,1.40625,26.66666667,11.42857143,13.4,2.09,6.2736,55.92,16.55,0,15.5,7.96,21,13.12,13,6.426,3,1,"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009."
25,3FVBZG9CLIDNLMLI8QYUJTSYYO00HJ,6.6,5.8,2.6,28,164,85.71428571,5.678571429,57.14285714,3.333333333,0,1.321428571,22.22222222,3.333333333,10.7,2.01,6.0215,68.44,14.06,0,15.6,10.16,17,12.36,11,5.708428571,3,1,"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009."
26,3BFNCI9LYJPM9PE3E4U1UE1BNXO37F,5.8,6.4,3.4,22,128,79.54545455,5.454545455,59.09090909,8,4.545454545,1.363636364,0,8,9.5,1.57,5.5283,66.07,10.62,0,12.5,9.34,13,14.06,13,5.113727273,3,1,"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida."
27,36AZSFEYZ3ZTNAJCBVCNIBFQX77VBP,5.2,6.4,4.2,35,201,92.85714286,4.571428571,62.85714286,5.128205128,0,1.257142857,18.75,5.128205128,13.4,2.45,6.5978,61.33,14,0,18.5,9.35,18.5,13.04,14,7.002571429,3,1,"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla."
28,3OKP4QVBP1W5M3OPGMD5NZSASAZGAR,5.8,7,5.4,30,173,88.33333333,4.2,56.66666667,3.125,0,1.333333333,20,3.125,11.5,2.12,5.981,66.41,14.67,0,16.2,10.17,18,11.97,12,5.929,3,1,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009."
29,35A1YQPVFDFMCOI3BEMR00P4F9PI5E,5.4,6.2,3.4,30,194,86.66666667,5.766666667,70,20,3.333333333,1.566666667,26.66666667,20,15,2.42,6.8963,41.03,17.33,0,19.5,13.88,21,13.55,14,7.075666667,0,1,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009."
30,3VO4XFFP14LEGQK5CF6X7MUMXP1Q74,5.6,5.8,2.2,15,101,80,4.133333333,66.66666667,5.263157895,33.33333333,1.8,37.5,5.263157895,11.5,1.25,5.7079,39.33,8.67,0,12.8,10.72,8.5,13.85,9,4.674,3,5,2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field
31,3909MD9T2YG2YG96L7991XIPCAWFEL,4.6,4.8,2.8,10,52,80,4.5,60,0,0,1.3,20,0,3.7,0.63,4.9671,86.71,4,0,3.8,5.02,4,10.45,4,3.109,0,1,"2Ares I First Stage Motor Unveiled on July 20, 2009."
32,3JMQI2OLFY49U28NN0H23K9DEPIDNY,3.6,2.6,4.6,9,38,66.66666667,4.777777778,44.44444444,0,11.11111111,1.222222222,0,0,2.1,0.44,5.1152,96.18,3.6,0,-1.3,-1.03,3.5,11.1,4,3.063555556,3,3,2) Create a story about in in 6 words.
33,3MYASTQBG6AUXZLF3S9J7E4IJ05DQL,5.2,4.2,3,6,31,91.66666667,8.166666667,66.66666667,0,16.66666667,1.333333333,0,0,2.1,0.38,5.3843,90.77,2.4,0,2,2.37,2,9.2,2,3.118333333,0,8,2) Double click on New Printer.
34,30EMX9PEVJIEOL62NDKB6RE9LXMSK1,3.8,3.6,3,24,112,60.41666667,5.583333333,70.83333333,4.166666667,0,1.291666667,10.52631579,4.166666667,9.1,1.31,6.066,72.5,11.27,0,8,3.55,13,9.43,9,5.298,0,7,"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?"
35,31MBOZ6PANQ91AZOBR6C6MN6OU5CLU,3.4,2.2,4.6,10,41,75,5.3,50,10,0,1,14.28571429,10,0.1,0.47,5.0839,112.09,4,0,-1.5,-1.37,4,7.29,4,2.249,3,9,2. Is the cave of the winds hard to walk?
36,3QREJ3J432WRK8BC34NAU50ET3EKLF,1.4,4.8,3.2,13,62,61.53846154,2.923076923,69.23076923,0,0,1.307692308,20,0,4.8,0.73,5.6106,83.66,8.28,0,3.2,3.23,6.5,14,5,4.656615385,3,2,2) Just wipe the Mac OS X partition when u install the dapper.
37,3IHWR4LC7CC5Z6159CTUCKZVHZQI8G,4.8,5,4.8,7,44,78.57142857,0.571428571,71.42857143,0,28.57142857,1.571428571,0,0,6,0.56,5.301,64.37,8.51,0,7.6,9.87,3.5,17.52,8,5.511714286,0,0,2) Marty Peretz apologizes to Matt Yglesias.
38,3YCT0L9OML8FWRR5KQCRYJVDFSRSN6,5.4,6.6,3.6,12,69,75,2.416666667,66.66666667,0,16.66666667,1.5,0,0,6.8,0.85,6.0332,67.76,8.13,0,7.3,8.92,6,12.13,9,5.397666667,0,8,2. Select Network Printer and use the listbox to choose HP JetDirect.
39,3FBEFUUYRJ43PAZJ494JB8FLYWVA6I,3,5.2,5,18,93,55.55555556,5.5,61.11111111,10,0,1.111111111,5.555555556,10,4.4,1.12,5.8633,95.51,7.2,0,7.4,5.62,9,8.04,8,3.854777778,4,5,"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here."
40,372AGES0I348765W77ZV6BHFV4IXR7,2.4,5.6,3.6,49,252,57.14285714,4.469387755,57.14285714,5.882352941,12.24489796,1.285714286,11.11111111,5.882352941,18.9,3,7.9746,47.12,21.23,0,22.7,6.69,26.5,9.61,19,8.801061224,3,3,"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu."
41,3UYRNV2KISYXD7CW6S6MHSVC3YKN81,1.2,1.8,5,8,40,37.5,1.875,50,0,0,1.25,0,0,2.9,0.48,5.2386,88.74,3.2,0,2,2.1,3,7.98,3,3.042,0,4,2. What the hell isn't he talking about?
42,36JW4WBR05JEIQ08B8HFM0F24QOFH1,4.6,5.6,3.6,26,143,59.61538462,3.038461538,57.69230769,6.666666667,3.846153846,1.269230769,29.41176471,6.666666667,9.9,1.73,6.1143,70.47,11.94,0,13,6.91,14,12.21,7,5.828076923,0,8,"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address."
43,3AJA9FLWSBXEELBSHQZ0MCGH433IFX,2.2,1.4,3.4,12,79,75,2.083333333,58.33333333,6.666666667,8.333333333,1.416666667,0,6.666666667,5.6,1,6.1118,76.22,4.8,0,11.3,11.82,6,8.18,6,3.964333333,1,3,"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?"
44,3OYHVNTV5SXZQTE9GW32MM48O8JKOW,5,5,5.2,7,44,92.85714286,2.428571429,71.42857143,14.28571429,14.28571429,1.571428571,0,14.28571429,6,0.56,4.9104,64.37,2.8,0,7.6,9.06,2.5,15.26,3,6.740285714,0,8,3.) Chamber of Commerce chief battles Obama.
45,37NXA7GVSS550J5O281HWEBV91LVLC,4.4,6.4,1.4,41,222,65.85365854,3.512195122,53.65853659,0,5,1.25,20.68965517,0,15.4,2.67,7.9983,56.26,16,0,20,7.38,20.5,10.75,16,7.124,3,8,"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward"""
46,304QEQWKZOJXD375C3TK32PZAAE0O7,5.6,6.4,3.4,33,205,86.36363636,5.757575758,66.66666667,16.66666667,0,1.454545455,50,16.66666667,15,2.54,7.3259,46.44,18.05,0,19.8,12.31,20.5,12.93,13,7.055636364,3,5,"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle."
47,3VO4XFFP14LEGQK5CF6X7MUMXP17QL,2.4,3,4.6,11,52,81.81818182,3.363636364,63.63636364,18.18181818,0,1,7.142857143,18.18181818,0.5,0.62,4.8851,111.07,4.4,0,2.1,1.55,4.5,5.62,2,2.39,0,5,"3) ""Great beer and great wine are on the same team."""
48,3SA4EMRVJU1FY3J6R36ZS2UPKFA0PO,2.4,4.6,5,7,40,28.57142857,6,71.42857143,12.5,14.28571429,1.142857143,50,12.5,0.1,0.5,5.5691,106.67,2.8,0,5,4.94,2.5,10.75,5,1.826,2,3,3. i believe you just press CTRL+(click)
49,31MCUE39BJL52IP477YV0RE4M073GI,4.6,4.2,2.4,12,55,91.66666667,4.833333333,50,0,0,1.166666667,20,0,3.3,0.65,5.5643,93.14,4.8,0,1.9,2.13,5,9.5,5,3.247666667,3,5,3. In the Host box type the IP address of your printer.
50,3XDSWAMB21RKS7F13WE8N8M0Y0SCQJ,2.8,2.2,3.8,7,34,85.71428571,5,57.14285714,14.28571429,28.57142857,1.285714286,0,14.28571429,2.5,0.41,5.3972,89.75,2.8,0,0.9,0.76,2.5,10.75,3,3.054571429,0,2,3) Purchase a new 2 button mouse..
51,31KPKEKW49CDU9IW8YOYXIP03BVB0E,4.6,5.8,3,15,94,66.66666667,1.4,66.66666667,6.666666667,6.666666667,1.533333333,60,6.666666667,8,1.18,5.9856,64.71,8.67,0,11.2,9.21,7.5,12.8,8,5.247333333,3,9,"3. Select ""Network Printer"" and select ""HP JetDirect"" as the type. (instead of default ""CUPS"")"
52,3K3G488TR17ZTM6MOMR092GQ6J75Q5,5.2,6,3.2,29,156,60.34482759,4.172413793,55.17241379,6.896551724,3.448275862,1.310344828,13.04347826,6.896551724,11.1,1.88,6.5068,67.42,12.98,0,13.8,8.14,15.5,9.43,9,6.707310345,4,9,"3) Water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the Ironman competition while you are here."
53,37PGLWGSJS5PU736I1QX2P8MCZKIKZ,4.4,5,4.6,7,36,50,2.428571429,57.14285714,0,0,1.285714286,0,0,2.5,0.44,5.4183,89.75,2.8,0,2.3,2.44,2.5,10.75,3,3.054571429,4,9,3) We choose a winning 6-word story.
54,34F34TZU7VYQ82JMBD5TEU1S8EOJ2R,4.8,2.4,4,13,62,80.76923077,2.615384615,53.84615385,0,7.692307692,1.153846154,8.333333333,0,3.6,0.73,5.416,92.12,5.2,0,3.2,3.23,5.5,9.14,4,3.333538462,3,0,3. Will the threat of a lawsuit do anything to the Palin camp?
55,3U18MJKL1TLZPA29N4MRJERVTP5NC7,4,5.2,2.8,36,181,55.55555556,5.5,58.33333333,2.702702703,8.333333333,1.138888889,3.125,2.702702703,11.4,2.14,6.3687,77.24,15.51,0,15.7,5.41,19,9.37,16,6.631666667,2,8,"3) you have to determine your print queue name, check with netgear for this, I am using Dlink DI-724P+ and the queue name is ""lp"", so perhaps you would want to have a try with this."
56,3IHWR4LC7CC5Z6159CTUCKZVHZR8I7,2.8,5,4.4,6,30,83.33333333,6,83.33333333,14.28571429,0,1.5,33.33333333,14.28571429,4.5,0.37,5.0159,73.85,9.07,0,1.2,2.37,3,14.46,3,4.551666667,0,5,4-Albany NY has a great museum
57,35U0MRQMUI6D648LF0H9OVFP46QVOT,3.4,2.2,5.8,8,46,68.75,7.375,75,12.5,12.5,1.375,0,12.5,4.1,0.57,4.9619,80.28,3.2,0,5.6,6.45,3,11.93,6,4.117,0,5,4.) Are washing machines the new water savers?
58,38DCH97KHG170LL7DOVUACZVOK1QJB,2.6,2.6,3.8,3,17,83.33333333,3.666666667,66.66666667,0,0,1.333333333,-1,0,0.9,0.22,4.8171,93.81,1.2,0,3.6,-0.46,0.5,9.05,1,1.262,0,0,4. Click Forward.
59,3MIVREZQVGX2B5RPV9V6BRZ8391QKA,4.2,5.4,3.4,22,118,59.09090909,6.227272727,59.09090909,8.695652174,0,1.272727273,12.5,8.695652174,8.3,1.42,6.1541,74.53,8.8,0,10.3,7.25,11,6.88,7,4.722818182,2,2,"4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing."
60,374UMBUHN4OXKN7TK083SDXNI7RCTX,5,5.6,2.6,13,63,88.46153846,3.461538462,53.84615385,0,0,1.153846154,50,0,3.6,0.75,5.8484,92.12,5.2,0,3.5,1.9,5.5,9.14,4,3.333538462,3,8,"4. In the ""host:"" box, type the IP address of the print server."
61,3HEADTGN2ORG3H017SYDIQKUFTAVR2,5.4,6.2,2,21,125,83.33333333,4.19047619,71.42857143,4.545454545,4.761904762,1.476190476,23.07692308,4.545454545,6.2,1.54,6.0846,69.28,8.01,0,7.4,9.14,5.25,14.68,8,5.186166667,0,1,"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona."
62,3ZC62PVYDG9S42R8G65NVT33WL3XX3,4.2,4.2,6,6,32,33.33333333,10.16666667,66.66666667,0,0,1,0,0,-1.5,0.4,5.2171,116.15,2.4,0,2.8,2.37,2,6.57,2,1.685,0,0,"4)Please, do not take the train."
63,3X52SWXE0W4PC4BNF5DEFX4MM19CWN,5,5.4,4,13,68,65.38461538,2.769230769,53.84615385,0,0,1.230769231,0,0,3.6,0.82,5.9138,92.12,5.2,0,5.4,5.03,5.5,9.14,6,3.995076923,3,9,"4) The story, along with the object, will then be auctioned on eBay."
64,3M0556243RJ6SMMJE6CSRKCYQ2XNFI,6.4,5.2,4.8,12,80,75,6.583333333,58.33333333,7.692307692,0,1.75,66.66666667,7.692307692,10.3,1.01,5.2825,42.38,11.47,0,11.7,12.75,7,10.81,11,4.681,4,9,"4) ""We find no clear relation between income inequality and class-based voting."""
65,3L55D8AUF9WT196NU6V20UP2X99CYM,2.8,4.6,4.2,5,35,80,3,100,14.28571429,40,1.6,50,14.28571429,5.2,0.46,5.3365,66.4,2,0,10.3,10.76,1.5,25.99,2,6.704,0,3,50 kb/s doing Scottsdale.AZ server.
66,3YGE63DIN7W5ICG73PKUKW2LDCD0WJ,3.2,3,6,7,47,78.57142857,2.571428571,71.42857143,14.28571429,14.28571429,2,50,14.28571429,10.7,0.6,5.3317,30.53,8.51,0,9.7,11.55,3.5,17.52,12,6.740285714,0,0,5.) Harry Potter sports an environmental audit.
67,3BA7SXOG1IPIS54OZZN3QC0M4VA8RB,3,4.4,3.4,12,57,66.66666667,4.166666667,41.66666667,0,0,1.166666667,14.28571429,0,3.3,0.68,4.9946,93.14,4.8,0,2.6,2.6,5,9.5,3,3.247666667,3,5,5. Leave the Port as 9100 (default for me already in box)
68,3WGCNLZJKE76GV1YIDJ46DWABOCD1P,2.4,5.6,4.2,8,43,81.25,2.625,75,11.11111111,0,1.125,0,11.11111111,0.5,0.53,5.0826,105.66,3.2,0,3.8,5,3,7.98,4,1.967,0,3,5)Many spas around- try the Mirror Lake Inn
69,3J06WJ78HMJ8WOHIGC3NJN9X0ZNVVV,4.8,6.2,2.2,30,170,81.66666667,3.333333333,56.66666667,12.5,0,1.366666667,25,12.5,12.6,2.07,6.3471,57.95,16,0,15.7,9.24,18,11.44,16,6.215666667,3,1,"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket."
70,31ODACBENTE0ZO4X0I482DQIK3EQSR,2.6,5,4,11,57,59.09090909,6.727272727,54.54545455,0,0,1.272727273,0,0,4,0.69,5.8091,85.69,4.4,0,4.2,4.74,4.5,11.36,5,3.953636364,3,0,5) The winning six-word writer gets to keep all the loot.
71,3MQKOF1EE1NZHWH1F18PZ3M471MDWP,2.2,4.4,3.6,11,56,54.54545455,4.636363636,63.63636364,0,0,1.363636364,20,0,5.2,0.68,5.02,77.23,8.04,0,3.8,0.5,5.5,9.92,6,3.953636364,4,4,"6:13: So far, we've had a mummy, a cowboy, a ladybug...."
72,3OKP4QVBP1W5M3OPGMD5NZSASAYAGK,5.2,6,2.2,31,173,83.87096774,4.580645161,67.74193548,0,0,1.387096774,0,0,13,2.1,6.2203,56.93,14.98,0,15.8,9.12,17.5,12.31,13,6.874516129,3,1,"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft."
73,3HA5ODM5K9RS4W0EMHYI80PQ1VTSVN,3,4,4.4,5,29,70,4,60,0,0,1.4,-1,0,2.9,0.37,5.1956,83.32,2,0,4.6,3.8,1.5,7.04,2,1.544,3,0,"6. click the ""Forward"" button"
74,39O6Z4JLX1W00DMDGR45786IGAVVXY,1.4,1.6,3.6,3,14,50,0,66.66666667,0,0,1,0,0,-2.7,0.18,5.1717,119.19,1.2,0,-1.2,-8.18,0.5,9.05,1,1.262,0,3,"6) Fun, right?"
75,3X2LT8FDHVHN01LAYTX9DB83WAP8WE,3.8,5.8,3.8,20,119,80,3.2,65,15,5,1.3,7.692307692,15,7.6,1.47,5.0946,76.56,10,0,12.1,10.27,11,8.58,10,4.949,0,6,"6) There are many great restaurants- Mirror Lake Inn, the Interlaken, Great Adirondack Steak and Seafood to name a few."
76,3W9XHF7WGJUF3LJHCDP1GWAVNG0KTI,3,5.2,4.2,15,76,36.66666667,4.733333333,60,5.882352941,0,1.266666667,9.090909091,5.882352941,5.6,0.91,5.7202,81.63,6,0,5.5,4.17,7.5,9.64,6,3.527333333,4,9,"7:16: We've been honing our act, and we finally got 4 little girls to laugh."
77,32PT7WK7DLE2QYFD5HXNU6B798QD3H,5.6,6.6,3.8,38,266,72.36842105,3.526315789,60.52631579,5.263157895,0,2,10.52631579,5.263157895,22.8,3.36,7.7063,-0.94,24.67,0,26,17.47,31,13.83,23,9.365421053,0,2,"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions."
78,351S7I5UG8VMXO8FXW3D6I4QJ9ENJL,4.4,4.4,2.6,11,63,81.81818182,2.818181818,45.45454545,0,0,1.636363636,33.33333333,0,7.6,0.78,5.7729,60.31,8.04,0,6.8,8.97,5.5,11.36,8,4.735454545,3,5,7. Select the Printer manufacturer and the model from the lists
